house,appliance_label,appliance_type,product_category,refit_column,current_avg_kwh_day,current_annual_kwh_est,current_cost_month_aud,current_cost_year_aud,recommended_store,recommended_product,recommended_brand,recommended_price_aud,recommended_annual_kwh,recommended_cost_month_aud,estimated_energy_saving_kwh_year,estimated_monthly_saving_aud,estimated_annual_saving_aud,payback_months,saving_score,energy_efficiency_score,affordability_score,payback_score,product_match_score,energy_rating,option_type,suitability_note,replacement_priority,product_recommendation,product_category_intel,benchmark_avg_kwh_day,benchmark_median_kwh_day,benchmark_avg_cost_month_aud,usage_percentile_vs_similar_houses,above_similar_house_avg_pct,intelligent_efficiency_class,recommendation_reason_codes,intelligent_recommendation_summary,balanced_intelligent_score,budget_user_score,eco_user_score,fast_payback_score,explainable_product_reason
1,Computer Site,Computer Site,computer,Appliance7,0.05419,19.78,0.49,5.93,JB Hi-Fi,Energy Efficient Mini PC Setup,Generic,699.0,105.0,2.62,0.0,0.0,0.0,,0.0,0.0,0.2634,0.0,0.0395,High,Energy Wise,Lower-power option for desktop computer sites.,low,Consider Energy Efficient Mini PC Setup from JB Hi-Fi for Computer Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,computer,0.41818333333333335,0.179285,3.763888888888889,22.2,-87.0,Average,peak-hour usage,"Computer Site is classified as Average. It is 87.0% below the REFIT similar-appliance average, with 7 detected events and 25.4% peak-hour activity.",0.1177,0.19,0.0619,0.1824,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Dishwasher,Dishwasher,washing machine,Appliance6,0.49155,179.42,4.42,53.82,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,99.42,2.42,29.09,7.84,0.5479,0.5541,0.9294,0.7538,0.6379,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,high,Consider Smart Plug With Timer from Kmart for Dishwasher. Estimated saving: $2.42/month with about 99.4 kWh/year reduction.,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",0.325,0.6091,0.1138,0.5191,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Dishwasher,Dishwasher,washing machine,Appliance6,0.49155,179.42,4.42,53.82,Bunnings,Timer Plug / Standby Saver,Arlec,24.0,75.0,1.88,104.42,2.55,30.59,9.42,0.5762,0.582,0.9124,0.7182,0.6497,Control,Best Value,Useful for appliance groups and plug loads.,high,Consider Timer Plug / Standby Saver from Bunnings for Dishwasher. Estimated saving: $2.55/month with about 104.4 kWh/year reduction.,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",0.3164,0.5926,0.1106,0.4989,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Dishwasher,Dishwasher,washing machine,Appliance6,0.49155,179.42,4.42,53.82,JB Hi-Fi,Energy Monitoring Smart Plug,TP-Link Tapo,29.0,70.0,1.75,109.42,2.67,32.09,10.85,0.6044,0.6098,0.8961,0.6888,0.6624,Monitoring,Overall,Adds monitoring so recommendations can be updated later.,high,Consider Energy Monitoring Smart Plug from JB Hi-Fi for Dishwasher. Estimated saving: $2.67/month with about 109.4 kWh/year reduction.,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",0.309,0.578,0.1079,0.4818,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Dishwasher,Dishwasher,washing machine,Appliance6,0.49155,179.42,4.42,53.82,Big W,Laundry Smart Timer Plug,Generic,29.0,180.0,4.5,0.0,0.0,0.0,,0.0,0.0,0.8961,0.0,0.1344,Control,Cheapest,Low-cost option to shift laundry away from peak hours.,low,Consider Laundry Smart Timer Plug from Big W for Dishwasher. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",0.2437,0.4747,0.061,0.2773,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Dishwasher,Dishwasher,washing machine,Appliance6,0.49155,179.42,4.42,53.82,JB Hi-Fi,Inverter Front Loader,LG,799.0,145.0,3.62,34.42,0.8,9.59,1000.04,0.1806,0.1918,0.2383,0.0234,0.1691,High,Best Value,Good value inverter option for repeated laundry use.,medium,Consider Inverter Front Loader from JB Hi-Fi for Dishwasher. Estimated saving: $0.80/month with about 34.4 kWh/year reduction.,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",0.0743,0.1139,0.0368,0.0484,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Dishwasher,Dishwasher,washing machine,Appliance6,0.49155,179.42,4.42,53.82,The Good Guys,Front Load Washing Machine,Bosch,849.0,135.0,3.38,44.42,1.05,12.59,809.37,0.2371,0.2476,0.2275,0.0288,0.2076,Premium,Energy Wise,Front loaders are suited to lower water and energy use.,medium,Consider Front Load Washing Machine from The Good Guys for Dishwasher. Estimated saving: $1.05/month with about 44.4 kWh/year reduction.,washing machine,1.958721081081081,1.22083,17.62810810810811,21.6,-74.9,Average,peak-hour usage,"Dishwasher is classified as Average. It is 74.9% below the REFIT similar-appliance average, with 55 detected events and 27.9% peak-hour activity.",0.0734,0.1106,0.038,0.0497,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Electric Heater,Electric Heater,heater,Appliance9,0.19931,72.75,1.79,21.82,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,low,Consider Smart Plug With Timer from Kmart for Electric Heater. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",0.2487,0.4896,0.0586,0.2823,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Electric Heater,Electric Heater,heater,Appliance9,0.19931,72.75,1.79,21.82,Bunnings,Programmable Heater Timer,Arlec,24.0,420.0,10.5,0.0,0.0,0.0,,0.0,0.0,0.9124,0.0,0.1369,Control,Cheapest,Helps avoid heater running outside needed hours.,low,Consider Programmable Heater Timer from Bunnings for Electric Heater. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",0.2453,0.482,0.0586,0.2797,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Electric Heater,Electric Heater,heater,Appliance9,0.19931,72.75,1.79,21.82,Bunnings,Timer Plug / Standby Saver,Arlec,24.0,75.0,1.88,0.0,0.0,0.0,,0.0,0.0,0.9124,0.0,0.1369,Control,Best Value,Useful for appliance groups and plug loads.,low,Consider Timer Plug / Standby Saver from Bunnings for Electric Heater. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",0.2453,0.482,0.0586,0.2797,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Electric Heater,Electric Heater,heater,Appliance9,0.19931,72.75,1.79,21.82,JB Hi-Fi,Energy Monitoring Smart Plug,TP-Link Tapo,29.0,70.0,1.75,2.75,0.04,0.53,662.3,0.0244,0.0378,0.8961,0.035,0.1608,Monitoring,Overall,Adds monitoring so recommendations can be updated later.,low,Consider Energy Monitoring Smart Plug from JB Hi-Fi for Electric Heater. Estimated saving: $0.04/month with about 2.7 kWh/year reduction.,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",0.2046,0.412,0.0336,0.1519,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Electric Heater,Electric Heater,heater,Appliance9,0.19931,72.75,1.79,21.82,Big W,Timer Controlled Heater,Dimplex,129.0,360.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.6596,0.0,0.0989,High,Best Value,Timer function supports behaviour-based saving.,low,Consider Timer Controlled Heater from Big W for Electric Heater. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",0.1948,0.3683,0.0586,0.2418,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Electric Heater,Electric Heater,heater,Appliance9,0.19931,72.75,1.79,21.82,Harvey Norman,Efficient Panel Heater,Noirot,349.0,300.0,7.5,0.0,0.0,0.0,,0.0,0.0,0.4174,0.0,0.0626,Premium,Energy Wise,Better for frequent heating periods.,low,Consider Efficient Panel Heater from Harvey Norman for Electric Heater. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,heater,4.664432,1.54766,41.977999999999994,20.0,-95.7,Efficient,normal usage pattern,"Electric Heater is classified as Efficient. It is 95.7% below the REFIT similar-appliance average, with 177 detected events and 0.0% peak-hour activity.",0.1463,0.2592,0.0586,0.2055,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Fridge,Fridge,fridge,Appliance1,0.1444,52.7,1.3,15.81,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,low,Consider Smart Plug With Timer from Kmart for Fridge. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",0.2469,0.4896,0.0559,0.2823,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Fridge,Fridge,fridge,Appliance1,0.1444,52.7,1.3,15.81,Bunnings,Timer Plug / Standby Saver,Arlec,24.0,75.0,1.88,0.0,0.0,0.0,,0.0,0.0,0.9124,0.0,0.1369,Control,Best Value,Useful for appliance groups and plug loads.,low,Consider Timer Plug / Standby Saver from Bunnings for Fridge. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",0.2435,0.482,0.0559,0.2797,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Fridge,Fridge,fridge,Appliance1,0.1444,52.7,1.3,15.81,JB Hi-Fi,Energy Monitoring Smart Plug,TP-Link Tapo,29.0,70.0,1.75,0.0,0.0,0.0,,0.0,0.0,0.8961,0.0,0.1344,Monitoring,Overall,Adds monitoring so recommendations can be updated later.,low,Consider Energy Monitoring Smart Plug from JB Hi-Fi for Fridge. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",0.2403,0.4747,0.0559,0.2773,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Fridge,Fridge,fridge,Appliance1,0.1444,52.7,1.3,15.81,JB Hi-Fi,Compact Efficient Fridge,CHiQ,449.0,285.0,7.12,0.0,0.0,0.0,,0.0,0.0,0.3577,0.0,0.0536,Standard,Cheapest,Lower upfront price for smaller households.,low,Consider Compact Efficient Fridge from JB Hi-Fi for Fridge. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",0.1326,0.2324,0.0559,0.1965,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Fridge,Fridge,fridge,Appliance1,0.1444,52.7,1.3,15.81,The Good Guys,Energy Efficient Fridge-Freezer,Hisense,699.0,260.0,6.5,0.0,0.0,0.0,,0.0,0.0,0.2634,0.0,0.0395,High,Best Value,Balanced replacement for continuous loads.,low,Consider Energy Efficient Fridge-Freezer from The Good Guys for Fridge. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",0.1137,0.19,0.0559,0.1824,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Fridge,Fridge,fridge,Appliance1,0.1444,52.7,1.3,15.81,Harvey Norman,Inverter Fridge-Freezer,Samsung,999.0,220.0,5.5,0.0,0.0,0.0,,0.0,0.0,0.2002,0.0,0.03,Premium,Energy Wise,Inverter compressor suited to always-on refrigeration.,low,Consider Inverter Fridge-Freezer from Harvey Norman for Fridge. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,fridge,0.8247209090909091,0.62875,7.422727272727273,18.2,-82.5,Efficient,normal usage pattern,"Fridge is classified as Efficient. It is 82.5% below the REFIT similar-appliance average, with 177 detected events and 23.1% peak-hour activity.",0.1011,0.1615,0.0559,0.1729,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
1,Television Site,Television Site,television,Appliance8,0.03711,13.55,0.33,4.06,Kmart,Standby Saver Powerboard,Generic,19.0,120.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,Useful where TV site has multiple standby devices.,low,Consider Standby Saver Powerboard from Kmart for Television Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",0.2335,0.4896,0.0358,0.2823,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Television Site,Television Site,television,Appliance8,0.03711,13.55,0.33,4.06,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,low,Consider Smart Plug With Timer from Kmart for Television Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",0.2335,0.4896,0.0358,0.2823,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Television Site,Television Site,television,Appliance8,0.03711,13.55,0.33,4.06,Bunnings,Timer Plug / Standby Saver,Arlec,24.0,75.0,1.88,0.0,0.0,0.0,,0.0,0.0,0.9124,0.0,0.1369,Control,Best Value,Useful for appliance groups and plug loads.,low,Consider Timer Plug / Standby Saver from Bunnings for Television Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",0.2301,0.482,0.0358,0.2797,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Television Site,Television Site,television,Appliance8,0.03711,13.55,0.33,4.06,JB Hi-Fi,Energy Monitoring Smart Plug,TP-Link Tapo,29.0,70.0,1.75,0.0,0.0,0.0,,0.0,0.0,0.8961,0.0,0.1344,Monitoring,Overall,Adds monitoring so recommendations can be updated later.,low,Consider Energy Monitoring Smart Plug from JB Hi-Fi for Television Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",0.2269,0.4747,0.0358,0.2773,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Television Site,Television Site,television,Appliance8,0.03711,13.55,0.33,4.06,JB Hi-Fi,Energy Efficient LED TV,TCL,599.0,95.0,2.38,0.0,0.0,0.0,,0.0,0.0,0.2945,0.0,0.0442,High,Best Value,LED replacement for high TV-site consumption.,low,Consider Energy Efficient LED TV from JB Hi-Fi for Television Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",0.1065,0.2039,0.0358,0.187,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Television Site,Television Site,television,Appliance8,0.03711,13.55,0.33,4.06,The Good Guys,Low Energy QLED TV,Samsung,899.0,80.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.2176,0.0,0.0326,Premium,Energy Wise,Lower annual kWh for heavy TV use.,low,Consider Low Energy QLED TV from The Good Guys for Television Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,television,0.64669,0.36083,5.819047619047619,4.8,-94.3,Average,peak-hour usage,"Television Site is classified as Average. It is 94.3% below the REFIT similar-appliance average, with 108 detected events and 27.7% peak-hour activity.",0.0912,0.1693,0.0358,0.1755,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Tumble Dryer,Tumble Dryer,generic,Appliance4,1.40455,512.66,12.64,153.8,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,432.66,10.64,127.69,1.79,0.8418,0.844,0.9294,0.9308,0.8689,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,high,Consider Smart Plug With Timer from Kmart for Tumble Dryer. Estimated saving: $10.64/month with about 432.7 kWh/year reduction.,generic,3.5444526086956527,1.83936,31.899565217391302,47.8,-60.4,Efficient,normal usage pattern,"Tumble Dryer is classified as Efficient. It is 60.4% below the REFIT similar-appliance average, with 19 detected events and 24.2% peak-hour activity.",0.3926,0.6614,0.1911,0.617,"Matched because this appliance is efficient, normal usage pattern, and the option balances price, energy reduction, savings and payback."
